Darmanitan Zen
Deoxys Speed
Deoxys Attack
Deoxys Defense
Giratina Origin
Black Kyurem
White Kyruem
Landorus Incarnate
Meloetta Pirouette
Rotom Wash
Rotom Heat
Rotom Frost
Rotom Fan
Rotom Mow
Sky Shaymin 
Thundurus Incarnate
Tornadus Incarnate
Resolute Keldeo
Trash Wormadam
Sandy Wormadam
Zygarde 10
Zygarde Complete
Ash Greninja
Basculin Red
Spinda
Shellos Pink
Gastrodon Pink
Deerling Summer
Deerling Fall
Deerling Winter
Sawsbuck Summer
Sawsbuck Fall
Sawsbuck Winter
Cherrim Sunny
Alolan Rattata
Alolan Raticate
Alolan Raichu
Alolan Sandshrew
Alolan Sandslash
Alolan Vulpix
Alolan Ninetails
Alolan Diglett
Alolan Dugtrio
Alolan Meowth
Alolan Persian
Alolan Geodude
Alolan Graveler
Alolan Golem
Alolan Grimer
Alolan Muk
Alolan Exeggutor
Alolan Marowak
Mega Venusaur	
Mega Charizard X	
Mega Charizard Y	
Mega Blastoise	
Mega Beedrill	
Mega Pidgeot	
Mega Alakazam	
Mega Slowbro	
Mega Gengar	
Mega Kangaskhan	
Mega Pinsir	
Mega Gyarados	
Mega Aerodactyl	
Mega Mewtwo X	
Mega Mewtwo Y	
Mega Ampharos	
Mega Steelix	
Mega Scizor	
Mega Heracross	
Mega Houndoom	
Mega Tyranitar	
Mega Sceptile	
Mega Blaziken	
Mega Swampert	
Mega Gardevoir	
Mega Sableye	
Mega Mawile	
Mega Aggron	
Mega Medicham	
Mega Manectric	
Mega Sharpedo	
Mega Camerupt	
Mega Altaria	
Mega Banette	
Mega Absol	
Mega Glalie	
Mega Salamence	
Mega Metagross	
Mega Latias	
Mega Latios	
Mega Rayquaza	
Mega Lopunny	
Mega Garchomp	
Mega Lucario	
Mega Abomasnow	
Mega Gallade	
Mega Audino	
Mega Diancie	
Alpha Kyogre	
Omega Groudon
Mega Diancie
Pyroar_F
Eternal Floette
Silvally Fire
Silvally
Areceus Fire
Arceus
Meowstic_F
Aegislash Shield
Pumpkaboo Small
Pumpkaboo Large
Pumpkaboo Super
Gourgeist Small
Gourgeist Large
Gourgeist Super
Hoopa Unbound

